"site.num","crop","crop.2010"
19,"Corn",NA
20,"Corn",NA
21,"Corn",NA
22,"Corn",NA
23,"NA",NA
24,"Corn",NA
25,"Corn","Corn"
26,"Corn",NA
27,"Corn","Corn"
28,"Soybean",NA
29,"Soybean","Soybean"
30,"Corn","Corn"
31,"Wheat",NA
34,"Corn",NA
35,"Soybean","Soybean"
36,"Corn","Corn"
37,"Corn","Corn"
38,"Soybean","Soybean"
39,"Corn",NA
43,"Corn","Corn"
46,"Corn","Corn"
47,"Corn","Corn"
48,"Soybean",NA
49,"Corn","Corn"
50,"Corn","Corn"
63,"Corn","Corn"
64,"Corn","Corn"
65,"Corn","Corn"
66,"Soybean","Soybean"
67,"Corn","Corn"
68,"Soybean","Soybean"
69,"Corn",NA
70,"Corn","Corn"
71,"Corn","Corn"
74,"Soybean","Soybean"
75,"Corn","Corn"
76,"Soybean","Soybean"
77,"Soybean","Soybean"
78,"Corn","Corn"
79,"Soybean","Soybean"
80,"Soybean","Soybean"
81,"Corn","Corn"
82,"Sunflower","Sunflower"
83,"Corn","Corn"
84,"Corn","Corn"
85,"Soybean","Soybean"
86,"Soybean","Soybean"
87,"Soybean","Soybean"
88,"Corn","Corn"
89,"Soybean","Soybean"
90,"Corn","Corn"
91,"Corn","Soybean"
92,"Soybean","Soybean"
93,"Soybean","Soybean"
94,"Corn","Corn"
95,"Soybean","Soybean"
96,"Soybean","Soybean"
97,"Soybean","Soybean"
98,"Corn","Corn"
99,"Soybean",NA
100,"Corn","Corn"
101,"Corn","Corn"
102,"Corn","Corn"
103,"Corn","Corn"
104,"Corn","Corn"
105,"Soybean","Soybean"
106,"Corn","Corn"
107,"Corn",NA
108,"Corn","Corn"
109,"Corn",NA
110,"Corn","Corn"
111,"Corn",NA
112,"Soybean",NA
113,"Corn",NA
114,"Corn","Corn"
115,"Corn","Corn"
116,"Soybean",NA
117,"Corn","Corn"
127,"Corn","Corn"
128,"Soybean","Soybean"
129,"Corn","Corn"
130,"Soybean",NA
131,"NA",NA
132,"Corn","Corn"
133,"Soybean","Soybean"
134,"Corn","Corn"
135,"Soybean","Soybean"
136,"Corn","Corn"
137,"Corn","Corn"
138,"Soybean",NA
139,"Soybean","Soybean"
140,"Corn","Corn"
141,"Soybean","Soybean"
