site.num,round,nResist,nSens,nTot,pRes
1,7,14,5,21,0.666666667
1,10,13,0,28,0.464285714
2,7,9,8,21,0.428571429
3,7,4,11,21,0.19047619
4,6,4,16,21,0.19047619
4,7,0,21,21,0
4,10,0,10,21,0
5,6,18,3,21,0.857142857
5,7,9,6,21,0.428571429
6,6,9,11,21,0.428571429
7,6,6,12,21,0.285714286
8,6,1,19,21,0.047619048
10,7,3,13,21,0.142857143
11,7,6,11,21,0.285714286
12,6,1,18,21,0.047619048
13,8,0,16,21,0
14,8,4,15,21,0.19047619
15,8,8,6,21,0.380952381
16,7,17,0,21,0.80952381
17,10,8,3,21,0.380952381
18,8,7,3,21,0.333333333
18,8,16,0,21,0.761904762
18,6,11,7,21,0.523809524
18,10,11,3,21,0.523809524
25,8,0,20,21,0
27,8,2,17,21,0.095238095
29,8,1,11,21,0.047619048
30,6,1,20,21,0.047619048
35,6,2,16,21,0.095238095
36,8,1,19,21,0.047619048
37,8,0,21,21,0
38,8,0,13,21,0
40,8,4,8,21,0.19047619
41,6,2,17,21,0.095238095
42,8,0,18,21,0
43,7,2,15,19,0.105263158
44,6,1,19,21,0.047619048
45,6,4,14,21,0.19047619
46,6,0,21,21,0
47,7,0,19,21,0
49,7,0,21,21,0
50,8,0,20,21,0
51,8,0,19,21,0
51,10,1,9,21,0.047619048
52,7,0,14,21,0
53,8,0,16,21,0
54,4,1,16,21,0.047619048
54,7,0,20,21,0
55,8,8,7,21,0.380952381
55,10,9,8,21,0.428571429
56,8,8,9,21,0.380952381
58,6,0,21,21,0
59,8,7,6,21,0.333333333
59,10,3,2,23,0.130434783
60,7,0,21,21,0
61,4,0,6,8,0
62,4,0,16,18,0
63,4,0,16,17,0
64,4,0,19,21,0
65,4,0,11,11,0
66,4,0,18,21,0
66,7,0,20,21,0
66,10,0,16,21,0
67,4,0,15,19,0
68,8,0,7,7,0
70,4,0,13,14,0
71,4,1,18,21,0.047619048
71,7,0,20,21,0
72,6,11,8,21,0.523809524
72,10,8,1,14,0.571428571
74,4,1,16,21,0.047619048
74,7,0,20,21,0
75,8,0,17,21,0
76,8,1,11,21,0.047619048
77,4,1,14,21,0.047619048
78,4,1,19,21,0.047619048
79,8,7,5,21,0.333333333
80,4,0,19,21,0
81,4,0,21,21,0
82,4,0,18,21,0
83,6,0,21,21,0
84,4,0,20,21,0
85,4,1,20,21,0.047619048
86,8,4,2,21,0.19047619
87,8,0,16,21,0
88,4,0,21,21,0
88,7,0,20,22,0
88,10,2,12,21,0.095238095
89,7,1,15,21,0.047619048
89,10,8,8,28,0.285714286
90,8,0,21,21,0
90,10,0,12,21,0
92,10,6,7,28,0.214285714
92,10,3,9,28,0.107142857
93,10,0,9,21,0
94,10,0,17,28,0
95,10,4,2,21,0.19047619
96,6,2,18,21,0.095238095
96,10,3,15,28,0.107142857
97,4,4,12,21,0.19047619
97,6,3,16,21,0.142857143
97,10,5,9,21,0.238095238
98,10,0,12,21,0
100,10,0,14,21,0
101,4,0,21,21,0
101,6,0,21,21,0
101,10,0,17,21,0
102,4,0,17,20,0
102,10,1,14,28,0.035714286
103,4,0,13,21,0
104,6,0,17,21,0
105,10,10,3,21,0.476190476
106,4,1,15,16,0.0625
106,10,1,13,21,0.047619048
108,4,0,20,21,0
110,10,0,15,21,0
114,4,0,15,15,0
115,4,1,6,8,0.125
117,4,0,10,13,0
118,5,1,15,21,0.047619048
119,5,0,20,21,0
120,5,0,16,21,0
120,10,0,17,21,0
121,5,4,10,21,0.19047619
121,7,3,9,21,0.142857143
121,10,4,6,21,0.19047619
122,5,3,9,21,0.142857143
122,7,1,12,21,0.047619048
122,10,4,8,21,0.19047619
123,5,0,18,21,0
124,5,0,15,21,0
125,5,1,13,21,0.047619048
127,5,0,12,12,0
127,7,0,19,21,0
128,5,2,14,21,0.095238095
128,10,3,6,21,0.142857143
129,5,2,12,21,0.095238095
132,5,1,13,21,0.047619048
133,10,5,2,21,0.238095238
134,5,0,2,2,0
134,7,0,10,11,0
135,10,4,11,28,0.142857143
136,5,0,9,9,0
136,7,0,19,21,0
136,10,0,21,21,0
137,5,6,6,21,0.285714286
137,7,3,13,21,0.142857143
139,5,1,0,1,1
139,7,11,6,21,0.523809524
140,5,2,9,21,0.095238095
141,5,3,7,12,0.25
141,7,5,6,21,0.238095238
,1,,,,
,3,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,3,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,3,,,,
,1,,,,
,1,,,,
,3,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,1,,,,
,3,,,,
,1,,,,
,3,,,,
,1,,,,
,1,,,,
,3,,,,
,1,,,,
,3,,,,
,2,,,,
,3,,,,
,2,,,,
,2,,,,
,3,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,3,,,,
,2,,,,
,2,,,,
,3,,,,
,2,,,,
,2,,,,
,2,,,,
,3,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,2,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
,3,,,,
